scenario_name,total_transportation_cost,total_holding_cost,total_stockout_cost,total_cost,on_time_delivery_rate,order_fulfillment_rate,total_demand,total_fulfilled,total_stockouts,avg_warehouse_utilization,current_late_delivery_rate,current_profit,current_revenue,current_cost,estimated_new_revenue,estimated_new_profit,profit_improvement,optimization_status,solve_time_seconds,capacity_multiplier,transport_cost_multiplier,service_level_target,stockout_penalty_multiplier,inventory_turnover_rate,avg_unit_price
Baseline,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544,0.4845901639344262,0.9719062504053231,539693,524531.0,15162.0,35.3046004721546,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87288759.62791,50964395.38935946,60452630.310273804,Optimal,300.423404,1.0,1.0,0.95,10,12,166.4129663030593
Increased_Capacity_10pct,19078381.182409286,110319.49821226731,15749478.98952443,34938179.67014598,0.4829619921363041,0.9738051077186476,539693,525555.8,14137.199999999999,35.05391558880912,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87459299.63577738,52521119.9656314,62009354.88654575,Optimal,300.347162,1.1,1.0,0.95,10,12,166.4129663030593
Increased_Capacity_20pct,18916008.8135686,116222.11198335279,14522089.393681882,33554320.319233835,0.4829619921363041,0.9756391133477736,539693,526545.6,13147.4,33.55411853159337,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87624015.18982413,54069694.8705903,63557929.791504644,Optimal,300.466821,1.2,1.0,0.95,10,12,166.4129663030593
Increased_Capacity_30pct,18764987.91181436,119648.55246672357,13294777.52783312,32179413.99211421,0.48230668414154654,0.9774564428295346,539693,527526.4,12166.6,31.89021176056018,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87787233.02717419,55607819.03505998,65096053.955974326,Optimal,300.267932,1.3,1.0,0.95,10,12,166.4129663030593
Reduced_Transport_Cost_10pct,17334780.32444913,100748.48315732644,16963240.42554488,34398769.23315133,0.48046875,0.9726715002788623,539693,524944.0,14749.0,35.12708451301396,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87357488.18299316,52958718.94984183,62446953.87075617,Optimal,191.823416,1.0,0.9,0.95,10,12,166.4129663030593
Reduced_Transport_Cost_20pct,15424520.882097015,96042.25814946298,16951323.315774594,32471886.45602107,0.47696301103179756,0.9733626339418892,539693,525317.0,14376.0,33.17894359440933,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87419560.2194242,54947673.76340313,64435908.68431748,Optimal,174.139111,1.0,0.8,0.95,10,12,166.4129663030593
Increased_Transport_Cost_10pct,21142208.332353223,102018.47884551734,17003522.564961597,38247749.37616034,0.48578982154659617,0.9707778311002737,539693,523922.0,15771.0,36.17367024740179,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87187414.13143143,48939664.75527109,58427899.67618544,Optimal,300.196778,1.0,1.1,0.95,10,12,166.4129663030593
Higher_Service_Target_97pct,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544,0.4845901639344262,0.9719062504053231,539693,524531.0,15162.0,35.3046004721546,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87288759.62791,50964395.38935946,60452630.310273804,Optimal,300.144366,1.0,1.0,0.97,10,12,166.4129663030593
Higher_Service_Target_99pct,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544,0.4845901639344262,0.9719062504053231,539693,524531.0,15162.0,35.3046004721546,0.5482913155955883,-9488234.920914344,36784735.01337984,46272969.93429419,87288759.62791,50964395.38935946,60452630.310273804,Optimal,216.275923,1.0,1.0,0.99,10,12,166.4129663030593
