scenario_name,total_transportation_cost,total_holding_cost,total_stockout_cost,total_cost
Baseline,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544
Increased_Capacity_10pct,19078381.182409286,110319.49821226731,15749478.98952443,34938179.67014598
Increased_Capacity_20pct,18916008.8135686,116222.11198335279,14522089.393681882,33554320.319233835
Increased_Capacity_30pct,18764987.91181436,119648.55246672357,13294777.52783312,32179413.99211421
Reduced_Transport_Cost_10pct,17334780.32444913,100748.48315732644,16963240.42554488,34398769.23315133
Reduced_Transport_Cost_20pct,15424520.882097015,96042.25814946298,16951323.315774594,32471886.45602107
Increased_Transport_Cost_10pct,21142208.332353223,102018.47884551734,17003522.564961597,38247749.37616034
Higher_Service_Target_97pct,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544
Higher_Service_Target_99pct,19243943.177982353,101243.52522535584,16979177.53534283,36324364.238550544
